,fartsdempere,trafikk_mengde,fotobokser,vegskulder,svingerestriksjon,vilt_fare,fartsgrense,trafikk_ulykke
0100 Fg122 hp160,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0100 Fg122 hp2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0100 Fg122 hp201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0100 Fg122 hp202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0100 Fg123 hp1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0100 Fg124 hp160,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0100 Fg124 hp2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0100 Fg124 hp205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0100 Fg124 hp250,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0100 Fg124 hp3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0100 Fg128 hp150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0100 Fg128 hp153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0100 Fg128 hp154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0100 Fg128 hp160,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0100 Fg128 hp161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0100 Fg128 hp162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0100 Fg128 hp163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0100 Fg128 hp164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0100 Fg128 hp204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0100 Fg128 hp205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0100 Fg128 hp206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0100 Fg128 hp207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0100 Fg128 hp208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0100 Fg128 hp251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0100 Fg128 hp4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0100 Fg128 hp5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0100 Fg128 hp6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0100 Fg128 hp7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0100 Fg128 hp8,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0100 Fg129 hp1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0100 Fg129 hp170,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0100 Fg129 hp2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0100 Fg202 hp201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0100 Fg206 hp1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0100 Fg207 hp201,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0
0100 Fg21 hp160,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0100 Fg21 hp180,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0100 Fg21 hp204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0100 Fg21 hp207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0100 Fg21 hp208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0100 Fg21 hp212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0100 Fg21 hp7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0100 Fg21 hp8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0100 Fg22 hp155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0100 Fg22 hp157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0100 Fg22 hp201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0100 Fg22 hp202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0100 Fg22 hp203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0100 Fg22 hp205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0100 Fg22 hp3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0100 Fg22 hp5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0100 Fg22 hp6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0100 Fg22 hp7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0100 Fg243 hp201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0100 Fg282 hp1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0100 Fg311 hp1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0100 Fg311 hp150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0100 Fg311 hp151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0100 Fg311 hp201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0100 Fg312 hp201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0100 Fg314 hp1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0100 Fg314 hp150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0100 Fg314 hp201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0100 Fg314 hp210,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0100 Fg332 hp1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0100 Fg332 hp150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0100 Fg332 hp201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0100 Fg335 hp1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0100 Fg335 hp201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0100 Fg381 hp1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0100 Fg388 hp201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0100 Fg401 hp201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0100 Fg402 hp1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0100 Fg403 hp1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0100 Fg409 hp1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0100 Fg409 hp3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0100 Fg413 hp201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0100 Fg413 hp250,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0100 Fg413 hp50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0100 Fg432 hp1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0100 Fg451 hp1,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0
0100 Fg451 hp201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0100 Fg451 hp50,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0
0100 Fg454 hp1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0100 Fg454 hp201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0100 Fg455 hp1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0100 Fg455 hp150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0100 Fg455 hp151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0100 Fg455 hp201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0100 Fg491 hp201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0100 Fg526 hp1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0100 Fg532 hp2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0100 Fg553 hp201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0100 Fg558 hp1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0100 Fg558 hp201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0100 Fg581 hp1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0100 Fg581 hp201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0100 Fg583 hp1,0.0,0.0,0.0,0.0,0.0,0.0,37.5,0.0
0100 Fg583 hp201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0100 Fg590 hp1,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0
0100 Fg592 hp201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0100 Fg691 hp1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0100 Fg691 hp201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0100 Fg700 hp1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0100 Fg708 hp201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0100 Fg738 hp1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0100 Fg740 hp1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0100 Fg886 hp201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0100 Fg901 hp1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0100 Fg901 hp150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0100 Fg901 hp201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0100 Fg902 hp201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0100 Fg921 hp1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0100 Fg921 hp2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0100 Fg921 hp3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0100 Fu413 hp1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0100 Fv101 hp1,3.0,388.5,0.0,1.0,0.0,0.0,51.666666666666664,94.0
0100 Fv102 hp1,0.0,82.0,0.0,0.0,0.0,0.0,40.0,12.0
0100 Fv103 hp1,13.0,885.0,0.0,0.0,0.0,0.0,43.333333333333336,82.0
0100 Fv104 hp1,0.0,1072.3333333333333,0.0,0.0,0.0,0.0,33.333333333333336,15.0
0100 Fv104 hp2,0.0,1047.5,0.0,1.0,0.0,0.0,60.0,43.0
0100 Fv106 hp1,0.0,136.5,0.0,1.0,0.0,0.0,55.0,49.0
0100 Fv107 hp1,5.0,0.0,0.0,0.0,0.0,0.0,54.0,112.0
